region,func,w,lambda_eur,n_open,sum_y_lp,travelcost_multistart,travelcost_lp_relaxation,facilitycost_eur,totalcost_eur,mean_traveltime_min,frac_open,baseline_facilities,baseline_travelcost,on_pareto_frontier
FRL,LOGISTIC,0.001636,163.60,716,715.500,517920,517980,117138,635058,2.8448,27,1024,514382,True
FRL,LOGISTIC,0.0016818,168.18,706,705.500,520745,520805,118735,639480,5.1193,27,1024,514382,True
FRL,LOGISTIC,0.002,200.00,632,632.000,534294,534239,126400,660694,5.3454,36,1024,514382,True
FRL,LOGISTIC,0.005,500.00,344,343.750,624989,623726,172000,796989,7.2826,116,1024,514382,True
FRL,LOGISTIC,0.01,1000.00,239,238.670,740865,696284,239000,979865,9.1382,233,1024,514382,True
FRL,LOGISTIC,0.02,2000.00,199,199.060,871694,748904,398000,1269694,12.9763,393,1024,514382,True
FRL,LOGISTIC,0.05,5000.00,162,161.760,992181,871362,810000,1802181,17.6885,427,1024,514382,True
FRL,LOGISTIC,0.1,10000.00,129,129.320,1207476,1111796,1290000,2497476,30.2778,166,1024,514382,True
FRL,LOGISTIC,0.2,20000.00,87,87.420,1766897,1742285,1740000,3506897,47.0645,33,1024,514382,True
FRL,LOGISTIC,0.5,50000.00,10,10.000,4254660,4254660,500000,4754660,108.2823,0,1024,514382,True
FRM,LINEAR,0.0001,10.00,905,905.000,159580,159580,9050,168630,2.9912,0,87,1697760,True
FRM,LINEAR,0.0002,20.00,904,904.000,159597,159597,18080,177677,2.9913,0,87,1697760,True
